ID,name,confidence,x_min,y_min,x_max,y_max
213,bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
214,bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
215,bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
216,bottle,0.501195967,657.1534424,313.0819702,952.0588379,1231.496094
217,bottle,0.355326921,446.1914063,312.0218506,628.322998,1193.137085
218,bottle,0.421528101,565.4318237,156.8905029,929.4454956,1261.609131
219,bottle,0.410453767,143.2461548,27.1251297,406.1999512,782.4179077
220,bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
221,bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
222,bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
223,bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
224,bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
225,bottle,0.292580128,349.4625854,84.0151825,677.1919556,931.6661377
226,bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
227,bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
228,bottle,0.552929997,538.359375,306.5406799,790.3650513,858.1943359
229,bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
230,bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
231,bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
232,bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
233,bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
234,bottle,0.292580128,349.4625854,84.0151825,677.1919556,931.6661377
235,bottle,0.428630322,456.905365,198.558548,682.0927124,743.7035522
236,bottle,0.335329711,178.5396271,239.6474152,373.3936462,718.3513184
237,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
238,bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
239,bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
240,bottle,0.3028346,345.2132568,27.17107582,849.6273193,1115.98938
241,bottle,0.434454918,160.3010101,0,351.0075073,496.1281433
242,bottle,0.703980327,103.4815903,86.27658844,219.1255798,282.1932983
243,bottle,0.642986774,236.6076508,132.2687988,274.6091003,263.3865051
244,bottle,0.582703531,208.6923218,117.7387924,249.5692139,273.3894043
245,bottle,0.52017045,262.9370117,143.5296631,302.1853027,257.1151123
246,bottle,0.332960725,320.581604,224.7954407,637.5280151,1200.781372
247,bottle,0.442316711,627.0699463,268.4395752,945.9523926,1198.739502
